job_id,submit_time,runtime_min,norm_cpu_seconds,cores_used
226801911,2026-03-01 10:35:13,12.185,22978.527,1
226801373,2026-03-01 10:31:10,18.84,19361.76,1
226802898,2026-03-01 10:42:18,3.844,5018.856,1
226803336,2026-03-01 10:47:11,1.341,1442.688,1
226803329,2026-03-01 10:47:09,1.354,1991.232,1
226802786,2026-03-01 10:41:25,5.173,7640.472,1
226803537,2026-03-01 10:48:47,1.017,1839.452,1
226801716,2026-03-01 10:33:47,13.68,21437.472,1
226803487,2026-03-01 10:48:21,1.173,1512.86,1
226801341,2026-03-01 10:30:58,19.842,26315.883,1
226801731,2026-03-01 10:33:54,15.173,20201.01,1
226801983,2026-03-01 10:35:45,12.186,25617.865,1
226801682,2026-03-01 10:33:30,15.511,31764.184,1
226803486,2026-03-01 10:48:21,1.016,1837.792,1
226803494,2026-03-01 10:48:24,1.188,1642.702,1
226803289,2026-03-01 10:46:52,2.687,5357.828,1
226803347,2026-03-01 10:47:16,1.841,1878.395,1
226801968,2026-03-01 10:35:38,12.186,25641.968,1
226802357,2026-03-01 10:38:26,9.182,15099.292,1
226803170,2026-03-01 10:46:01,3.506,3971.26,1
226803287,2026-03-01 10:46:52,2.844,3790.029,1
226802219,2026-03-01 10:37:31,9.842,13082.17,1
226801899,2026-03-01 10:35:08,13.34,20703.0,1
226803441,2026-03-01 10:47:59,1.508,1910.755,1
226803442,2026-03-01 10:48:00,1.338,1356.542,1
226803070,2026-03-01 10:45:14,4.508,4188.232,1
226801910,2026-03-01 10:35:12,13.175,20129.58,1
226801871,2026-03-01 10:34:56,13.346,21833.971,1
226801766,2026-03-01 10:34:09,15.006,19237.68,1
226803514,2026-03-01 10:48:34,1.172,1560.431,1
226801943,2026-03-01 10:35:27,12.183,25041.384,1
226803213,2026-03-01 10:46:19,3.344,3885.588,1
226801706,2026-03-01 10:33:42,15.18,27338.248,1
226801876,2026-03-01 10:34:58,13.508,20801.744,1
226801932,2026-03-01 10:35:22,12.184,25119.275,1
226803267,2026-03-01 10:46:43,3.004,4833.08,1
226801754,2026-03-01 10:34:03,13.348,21010.497,1
226801385,2026-03-01 10:31:15,19.343,18875.272,1
226803397,2026-03-01 10:47:38,1.345,1446.753,1
226803301,2026-03-01 10:46:56,3.017,4667.694,1
226803152,2026-03-01 10:45:53,2.842,4080.708,1
226803084,2026-03-01 10:45:21,3.177,3830.471,1
226801433,2026-03-01 10:31:37,19.34,18118.779,1
226801878,2026-03-01 10:34:59,13.34,20947.848,1
226801792,2026-03-01 10:34:21,12.354,24029.502,1
226803407,2026-03-01 10:47:42,1.674,2180.874,1
226802020,2026-03-01 10:36:01,12.019,25157.01,1
226803393,2026-03-01 10:47:37,1.339,1453.092,1
226803368,2026-03-01 10:47:26,1.339,1441.706,1
226803420,2026-03-01 10:47:49,1.674,2038.233,1
226801908,2026-03-01 10:35:12,12.854,20016.93,1
226801882,2026-03-01 10:35:01,13.342,18126.801,1
226803456,2026-03-01 10:48:05,1.341,1782.064,1
226801360,2026-03-01 10:31:06,19.506,18858.596,1
226803394,2026-03-01 10:47:37,1.183,1468.56,1
226801668,2026-03-01 10:33:22,15.696,33755.305,1
226801829,2026-03-01 10:34:37,13.342,20409.823,1
226801839,2026-03-01 10:34:41,13.343,20388.143,1
226803231,2026-03-01 10:46:27,1.354,1850.451,1
226803429,2026-03-01 10:47:53,1.18,1626.912,1
226803381,2026-03-01 10:47:32,1.839,2003.04,1
226803106,2026-03-01 10:45:32,3.672,4599.84,1
226802892,2026-03-01 10:42:14,3.843,4498.416,1
226801598,2026-03-01 10:32:50,16.673,19523.704,1
226803141,2026-03-01 10:45:46,3.842,3787.135,1
226803011,2026-03-01 10:44:44,4.511,4346.16,1
226801870,2026-03-01 10:34:55,13.339,21359.407,1
226801375,2026-03-01 10:31:11,19.011,19544.272,1
226803146,2026-03-01 10:45:49,3.339,5347.711,1
226801874,2026-03-01 10:34:57,13.342,20784.345,1
226803553,2026-03-01 10:48:54,1.354,2464.0,1
226801937,2026-03-01 10:35:24,11.846,21103.156,1
226801430,2026-03-01 10:31:36,18.845,19703.66,1
226801952,2026-03-01 10:35:30,11.844,20770.655,1
226801579,2026-03-01 10:32:41,16.505,22492.47,1
226801794,2026-03-01 10:34:22,13.173,28007.532,1
226801552,2026-03-01 10:32:29,16.34,20324.016,1
226803489,2026-03-01 10:48:22,1.023,1817.243,1
